text,level,conf,height
,1,-1.0,792
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
CECW-EH-D,5,59.978828,8
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
 ,5,95.0,30
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
1110-2-2904,5,67.285103,8
,2,-1.0,35
,3,-1.0,35
,4,-1.0,9
‘earteat,5,0.0,9
ofthe,5,74.986519,7
Ary,5,56.232224,6
,4,-1.0,11
USS.,5,92.228935,8
Army,5,90.418015,11
Comps,5,64.768181,8
of,5,96.96106,8
En,5,79.984131,8
,4,-1.0,9
"Washington,",5,70.011017,9
BC,5,35.102524,7
2031-1000,5,35.102524,7
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
EM,5,43.769875,28
III,5,43.769875,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
2908,5,77.139946,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
8,5,82.998795,8
August,5,95.250748,11
1986,5,92.926094,8
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Engineer,5,0.0,11
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
and,5,65.56572,8
Design,5,90.364105,11
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
DESIGN,5,96.967941,8
OF,5,93.292984,8
BREAKWATERS,5,93.217873,8
AND,5,85.888969,8
JETTIES,5,77.39222,8
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,185
,3,-1.0,185
,4,-1.0,185
 ,5,95.0,185
,2,-1.0,185
,3,-1.0,185
,4,-1.0,185
 ,5,95.0,185
,2,-1.0,39
,3,-1.0,39
,4,-1.0,10
Distribution,5,93.901138,10
Restriction,5,96.751266,10
Statement,5,93.527214,10
,4,-1.0,11
Approved,5,61.829411,11
for,5,93.278091,8
publie,5,86.834106,11
release:,5,51.055302,8
distibution,5,40.124973,8
is,5,96.013901,5
,4,-1.0,8
"unlimited,",5,74.12838,8
,2,-1.0,185
,3,-1.0,185
,4,-1.0,185
 ,5,95.0,185
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,185
,3,-1.0,185
,4,-1.0,185
 ,5,95.0,185
